Benchmark,NUM_PERCEPTRONS,GHR_LENGTH,LHR_LENGTH,LHT_SIZE,HASHING_SCHEME,Accuracy
dealII_O3,1024,8,16,4096,8,72.15
dealII_O3,1024,16,16,4096,8,70.85
dealII_O3,1024,32,16,4096,2,78.79
dealII_O3,1024,32,16,4096,7,78.79
dealII_O3,1024,32,8,4096,8,70.04
dealII_O3,1024,32,16,4096,3,96.68
dealII_O3,1024,32,16,4096,5,75.65
dealII_O3,8192,32,16,4096,8,79.92
dealII_O3,1024,32,16,8192,8,70.8
dealII_O3,4096,32,16,4096,8,74.27
dealII_O3,2048,32,16,4096,8,69.85
dealII_O3,1024,32,16,4096,8,69.98
dealII_O3,1024,32,16,4096,8,69.98
dealII_O3,1024,32,16,4096,8,69.98
dealII_O3,1024,32,16,4096,8,69.98
dealII_O3,512,32,16,4096,8,68.57
dealII_O3,1024,32,16,4096,8,69.98
dealII_O3,256,32,16,4096,8,69.58
dealII_O3,1024,32,16,4096,9,61.53
dealII_O3,128,32,16,4096,8,68.56
dealII_O3,1024,32,16,2048,8,69.4
dealII_O3,64,32,16,4096,8,67.02
dealII_O3,1024,32,16,4096,1,87.9
dealII_O3,1024,32,16,1024,8,65.55
dealII_O3,1024,32,16,4096,4,87.9
dealII_O3,1024,32,16,4096,6,66.96
dealII_O3,1024,32,16,512,8,67.81
dealII_O3,1024,64,16,4096,8,92.31
dealII_O3,1024,32,32,4096,8,62.83
dealII_O3,1024,32,64,4096,8,74.28
dealII_O3,1024,8,16,4096,3,94.53
dealII_O3,1024,16,16,4096,3,96.66
dealII_O3,1024,32,8,4096,3,96.24
dealII_O3,1024,32,16,8192,3,97.2
dealII_O3,512,32,16,4096,3,96.12
dealII_O3,256,32,16,4096,3,95.8
dealII_O3,8192,32,16,4096,3,97.26
dealII_O3,2048,32,16,4096,3,96.94
dealII_O3,128,32,16,4096,3,95.6
dealII_O3,64,32,16,4096,3,95.37
dealII_O3,4096,32,16,4096,3,97.2
dealII_O3,1024,32,16,2048,3,95.92
dealII_O3,1024,32,16,1024,3,94.97
dealII_O3,1024,32,16,512,3,94.43
dealII_O3,1024,64,16,4096,3,91.92
dealII_O3,1024,32,32,4096,3,94.1
dealII_O3,1024,32,64,4096,3,72.5
dealII_O3,1024,32,16,32768,3,97.52
dealII_O3,1024,32,16,16384,3,97.24
dealII_O3,16384,32,16,4096,3,97.32
dealII_O3,32768,32,16,4096,3,97.51
dealII_O3,32,32,16,4096,3,94.8
dealII_O3,1024,32,16,256,3,91.78
