Benchmark,NUM_PERCEPTRONS,GHR_LENGTH,LHR_LENGTH,LHT_SIZE,HASHING_SCHEME,Accuracy
libquantum_O3,1024,8,16,4096,3,99.38
libquantum_O3,1024,32,16,4096,7,96.65
libquantum_O3,1024,32,16,4096,2,96.65
libquantum_O3,1024,16,16,4096,3,99.62
libquantum_O3,1024,32,16,4096,9,97.96
libquantum_O3,1024,32,16,4096,1,83.04
libquantum_O3,1024,32,16,256,3,99.41
libquantum_O3,8192,32,16,4096,3,99.71
libquantum_O3,1024,32,16,1024,3,99.54
libquantum_O3,1024,32,16,4096,3,99.66
libquantum_O3,1024,32,16,16384,3,99.71
libquantum_O3,16384,32,16,4096,3,99.7
libquantum_O3,2048,32,16,4096,3,99.66
libquantum_O3,1024,32,16,4096,5,96.04
libquantum_O3,128,32,16,4096,3,99.57
libquantum_O3,256,32,16,4096,3,99.6
libquantum_O3,1024,32,16,4096,3,99.66
libquantum_O3,512,32,16,4096,3,99.64
libquantum_O3,4096,32,16,4096,3,99.69
libquantum_O3,32,32,16,4096,3,99.45
libquantum_O3,1024,32,8,4096,3,99.56
libquantum_O3,1024,32,16,32768,3,99.75
libquantum_O3,1024,32,16,4096,8,99.48
libquantum_O3,1024,32,16,2048,3,99.63
libquantum_O3,1024,32,16,4096,6,98.02
libquantum_O3,1024,32,16,4096,4,83.04
libquantum_O3,64,32,16,4096,3,99.6
libquantum_O3,1024,32,16,512,3,99.48
libquantum_O3,1024,32,16,4096,3,99.66
libquantum_O3,1024,32,16,4096,3,99.66
libquantum_O3,1024,32,16,4096,3,99.66
libquantum_O3,1024,32,16,8192,3,99.68
libquantum_O3,32768,32,16,4096,3,99.73
libquantum_O3,1024,32,32,4096,3,99.69
libquantum_O3,1024,64,16,4096,3,95.37
libquantum_O3,1024,32,64,4096,3,87.37
